
[ START : main.exe ]

// Case 01 (00)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
// Case 05 (1073807360)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_OFF              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT                             )
(eAS_GAIN|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_NATIVE_GAIN                       ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_GAIN                                         )

// Case 06 (-2147418112)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_GAIN|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_GAIN|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_OFF     ,eAA_AUDIOFOCUSSTATE_GAIN                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    )
(eAS_GAIN|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_NATIVE_GAIN                       ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_GAIN                                         )

// Case 07 (524288)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT                             ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAS_GAIN_RELEASE                                 )
(eAS_GAIN_RELEASE                                 ,eAA_AUDIOEVENT_NATIVE_GAIN                       ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_RELEASE                                 )

// Case 08 (268500992)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_VR                                  ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_VR                                  ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_GAIN|eAS_VR                                  ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,eAS_VR                                           )
(eAS_GAIN|eAS_VR                                  ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN|eAS_VR                                  )
(eAS_GAIN|eAS_VR                                  ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_GAIN|eAS_VR                                  ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT_CAN_DUCK      ,true ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,NA                                               )

// Case 09 (1342242816)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT             ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT             ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT             ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT             ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT             ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT             ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN|eAS_VR                                  )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT             ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_OFF              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT                             )

// Case 10 (-1878982656)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK    ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK    ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK    ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN|eAS_VR                                  )
(eAS_GAIN|eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK    ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_OFF     ,eAA_AUDIOFOCUSSTATE_GAIN                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    )

// Case 11 (536936448)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_GAIN|eAS_CALL                                ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,NA                                               ,NA                                               )

// Case 12 (1610678272)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT           ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT           ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT           ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT           ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT           ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT           ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_OFF              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT                             )

// Case 13 (-1610547200)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK  ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK  ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK  ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK  ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK  ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN|eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK  ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_OFF     ,NA                                               ,NA   ,NA                                               ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    )

// Case 14 (131072)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT                               ,eAA_AUDIOEVENT_NATIVE_GAIN                       ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_GAIN_TRANSIENT                               )

// Case 15 (268566528)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN_TRANSIENT|eAS_VR                        ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT|eAS_VR                        ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT|eAS_VR                        ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_GAIN_TRANSIENT|eAS_VR                        ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,eAS_VR                                           )
(eAS_GAIN_TRANSIENT|eAS_VR                        ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_TRANSIENT|eAS_VR                        )
(eAS_GAIN_TRANSIENT|eAS_VR                        ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT|eAS_VR                        ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAS_GAIN_TRANSIENT                               )

// Case 16 (537001984)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,eAS_GAIN_TRANSIENT                               )
(eAS_GAIN_TRANSIENT|eAS_CALL                      ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT_CAN_DUCK      ,true ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAS_GAIN_TRANSIENT                               )

// Case 17 (262144)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,NA                                               ,NA                                               )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK                      ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )

// Case 18 (268697600)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
